a1_u_value_external_walls,a3_u_value_external_windows,a4_g_value,a5_infiltration_rate,b1_ahu_fan_efficiency,b12_sat,d1_htgsp_office,d2_htgsp_office_st,e1_natural_ventilation_rate,b10_airloophvac
6.07184,1.338326,0.321446,0.9324,0.503982,24.557408,23.585601,17.693026,1.097348,0.909015
6.731962,1.369067,0.342385,0.7164,0.490728,23.732082,22.187462,17.333386,0.827142,0.989961
5.962064,1.394043,0.367101,0.7415999999999999,0.631598,21.823804,23.357718,16.734938,0.629976,0.923613
6.047691,1.377874,0.387186,0.6804,0.536623,22.056594,21.288656,16.829224,1.22377,0.64387
6.093138,1.448509,0.308216,0.7091999999999999,0.573722,24.857319,23.101233,16.577468,1.111603,0.855129
6.478212,1.335962,0.375946,0.6372,0.561556,22.563648,22.413003,17.410871,0.903303,0.916202
6.86886,1.42402,0.320253,0.8964,0.638458,18.487012,23.01392,17.519807,0.385675,1.047989
6.49654,1.350719,0.307204,0.6228,0.450903,21.556703,21.80075,15.188163,0.244337,0.980161
6.222739,1.381348,0.374017,0.9504,0.596969,23.859764,23.047995,15.99975,1.028437,0.911715
6.371315,1.407792,0.39857,0.882,0.507114,25.506003,22.87647,15.793285,0.492216,0.998875
5.412509,1.37325,0.334376,0.9144,0.583685,17.802087,22.846413,16.896788,0.588659,0.904356
6.689149,1.34333,0.349218,0.8495999999999999,0.469789,20.965217,21.114034,17.153553,0.257501,0.953869
6.258891,1.468522,0.324043,0.8676,0.590836,20.579129,21.777932,16.526313,1.18455,0.890542
6.397367,1.325684,0.341715,0.8136,0.467756,20.509869,23.864889,17.190034,0.865398,0.781755
6.308914,1.446118,0.35086,0.6120000000000001,0.568269,19.330695,22.601634,16.115158,0.442854,0.851607
7.088403,1.429542,0.377202,0.8171999999999999,0.520323,20.435712,21.344937,16.557335,0.999422,0.96687
7.034636,1.441672,0.326971,0.9359999999999999,0.612345,21.152012,22.349765,16.942431,0.732751,1.035447
5.747587,1.399148,0.388473,0.8028,0.459975,22.252689,21.881647,17.092401,1.311624,0.904579
5.645607,1.404395,0.389559,0.7452,0.539193,21.869102,23.832019,15.697372,0.34927,0.940286
6.574225,1.374054,0.35268,0.6156,0.550635,25.106505,21.173105,15.234851,0.549281,0.800596
6.113966,1.35319,0.372431,0.648,0.631145,20.350347,23.748949,17.065448,0.786764,1.007182
5.810456,1.392646,0.331323,0.954,0.58925,24.009543,22.489339,17.240686,0.662942,0.711462
6.511115,1.397047,0.325446,0.8388,0.563024,22.188229,22.655827,16.231152,0.09555,0.832198
5.836568,1.332731,0.361422,0.8280000000000001,0.481639,22.025523,23.253132,16.491163,0.15152,1.026437
6.951299,1.307573,0.319784,0.756,0.622875,19.688554,21.552846,17.587313,0.333257,0.878081
5.942814,1.471005,0.363394,0.7812,0.542171,22.459227,23.157761,16.320617,0.374873,0.89835
6.413497,1.466318,0.395703,0.864,0.493204,19.240528,22.14559,15.309282,0.211275,0.915435
5.765386,1.358268,0.351615,0.9216,0.485652,16.317109,22.108779,15.498532,1.204218,1.016984
6.760179,1.355354,0.300445,0.6732,0.576018,19.460379,21.704039,15.427318,0.428193,0.993781
6.45095,1.415632,0.346936,0.9108,0.521333,22.621694,23.425763,15.14375,0.125854,1.081656
7.015966,1.418181,0.301994,0.7704,0.554647,23.683687,22.710734,15.516925,0.323533,0.934288
5.71945,1.48511,0.348924,0.7091999999999999,0.564828,23.054282,22.51597,15.455283,1.166921,0.94787
6.666635,1.318391,0.304081,0.8784,0.545824,21.41989,23.952354,17.915369,0.35796,0.836417
5.985255,1.498119,0.371635,0.8028,0.53109,19.006419,22.380454,15.034615,0.774245,1.001685
7.123128,1.457061,0.382348,0.7956,0.455598,20.153966,21.014876,15.848548,1.252872,1.048909
5.335481,1.433817,0.381906,0.6407999999999999,0.553303,23.428081,23.623544,16.092085,1.069282,0.95724
5.860356,1.491304,0.373839,0.7524000000000001,0.538639,23.127147,23.780254,16.776044,0.660061,1.061875
5.293743,1.480337,0.362145,0.8424,0.602717,20.056168,22.374121,16.275196,1.345563,0.868733
5.599416,1.367601,0.390715,0.9216,0.558767,22.710168,22.22526,16.684383,0.807704,0.864105
6.432967,1.3446,0.337342,0.63,0.588582,17.8941,21.938406,15.605015,1.149826,0.883304
6.13701,1.417787,0.318201,0.6624,0.599176,17.492516,21.922511,15.166977,1.263115,0.849801
6.328968,1.439352,0.309593,0.8316,0.608162,22.28209,22.895087,17.114688,0.931129,0.787658
6.841042,1.495983,0.364003,0.5976,0.533396,19.664878,22.017656,15.761788,0.528906,0.750611
5.328497,1.311211,0.369419,0.8892,0.503535,24.093844,22.743639,15.371296,0.816552,0.771445
5.770702,1.483889,0.384543,0.702,0.648256,22.372677,21.316899,15.726704,0.181492,0.976342
6.577726,1.452894,0.347697,0.8748,0.566875,18.666785,22.536328,17.018326,1.300137,0.761559
7.072877,1.329479,0.338954,0.5760000000000001,0.524346,21.76896,21.037385,16.380097,0.858393,0.927414
5.896057,1.314198,0.370746,0.8532,0.583758,18.807375,22.296364,17.544211,0.093757,0.716021
6.2098,1.364142,0.332683,0.5904,0.483279,22.820058,22.585596,17.798924,0.299674,0.950405
5.876444,1.331747,0.399676,0.9468,0.594081,23.245914,21.450874,16.209176,1.136503,0.922667
6.821829,1.347936,0.313618,0.684,0.546643,17.093112,23.177666,17.457363,1.023523,0.829647
