sample_0_full,sample_1_full,sample_2_full,sample_3_full,sample_4_full,sample_5_full,sample_6_full,sample_7_full,sample_8_full,sample_9_full,sample_10_full,sample_11_full,sample_12_full,sample_13_full,sample_14_full,sample_15_full,sample_16_full,sample_17_full,sample_18_full,sample_19_full
3.12,2.92,1.23,2.59,3.86,3.73,1.74,1.78,2.22,2.86,3.77,4.26,2.79,3.31,2.1,1.24,1.81,2.36,3.47,1.68
3.12,2.92,1.23,2.59,3.86,3.73,1.74,1.78,2.22,2.86,3.77,4.26,2.79,3.31,2.1,1.24,1.81,2.36,3.47,1.68
3.12,2.92,1.23,2.59,3.86,3.73,1.74,1.78,2.22,2.86,3.77,4.26,2.79,3.31,2.1,1.24,1.81,2.36,3.47,1.68
3.12,2.92,1.23,2.59,3.86,3.73,1.74,1.78,2.22,2.86,3.77,4.26,2.79,3.31,2.1,1.24,1.81,2.36,3.47,1.68
3.12,2.92,1.23,2.59,3.86,3.73,1.74,1.78,2.22,2.86,3.77,4.26,2.79,3.31,2.1,1.24,1.81,2.36,3.47,1.68
3.14,2.94,1.26,2.61,3.89,3.75,1.76,1.8,2.24,2.88,3.79,4.28,2.81,3.33,2.12,1.26,1.83,2.38,3.49,1.7
7.31,5.54,4.4,4.57,7,7.06,4.7,6.04,6.36,5.99,5.68,8.71,5.69,5.44,3.83,5.2,5.91,6.9,6.92,3.64
7.04,8.08,6.02,6.35,9.24,8.66,8.02,6.38,7.23,7.81,7.8,8.96,8.59,6.66,5.18,7.23,5.53,7,6.93,7.57
9.06,10.27,8.1,8.05,11.58,10.87,10.53,8.56,9.52,9.97,9.6,11.25,10.99,8.28,6.65,9.76,7.45,9.21,8.72,9.85
11.21,13.29,10.88,10.3,14.68,13.7,14.19,11.12,12.33,12.84,12.02,13.82,14.37,10.27,8.53,13.16,9.5,11.78,10.67,13.38
12.36,13.46,11.39,10.48,15.02,14.23,14.29,12.16,13.22,13.29,12.09,14.92,14.52,10.59,8.75,13.78,10.66,12.95,11.59,13.09
11.23,11.91,9.97,9.32,13.42,12.78,12.42,10.84,11.78,11.82,10.85,13.58,12.79,9.56,7.77,12.04,9.6,11.63,10.57,11.3
9.68,10.65,8.61,8.38,12,11.35,10.95,9.2,10.13,10.44,9.9,11.87,11.39,8.62,6.98,10.33,8.08,9.91,9.27,10.15
10.83,12.23,10.05,9.57,13.63,12.84,12.84,10.54,11.6,11.94,11.18,13.24,13.15,9.7,7.99,12.09,9.18,11.25,10.32,11.97
11.23,13.81,11.25,10.69,15.13,14.05,14.84,11.26,12.55,13.22,12.44,13.94,14.94,10.55,8.87,13.59,9.53,11.89,10.76,14.14
11.92,13.76,11.42,10.71,15.2,14.27,14.68,11.81,13.01,13.37,12.39,14.55,14.86,10.7,8.92,13.8,10.2,12.52,11.3,13.72
11.92,14.24,11.75,11.06,15.63,14.6,15.29,11.95,13.21,13.75,12.8,14.65,15.4,10.95,9.22,14.19,10.21,12.61,11.35,14.44
11,14.26,11.48,10.83,15.55,14.31,15.59,11.23,12.67,13.54,12.69,13.89,15.55,10.53,8.84,14.05,9.25,11.82,10.52,14.96
3.37,3.17,1.48,2.84,4.12,3.99,1.99,2.03,2.47,3.11,4.03,4.52,3.04,3.57,2.35,1.49,2.06,2.61,3.73,1.93
3.22,3.02,1.33,2.69,3.97,3.83,1.84,1.88,2.32,2.96,3.87,4.36,2.89,3.41,2.2,1.34,1.91,2.46,3.58,1.78
3.22,3.02,1.33,2.69,3.97,3.83,1.84,1.88,2.32,2.96,3.87,4.36,2.89,3.41,2.2,1.34,1.91,2.46,3.57,1.78
3.12,2.92,1.23,2.59,3.86,3.73,1.74,1.78,2.22,2.86,3.77,4.26,2.79,3.31,2.1,1.24,1.81,2.36,3.47,1.68
3.12,2.92,1.23,2.59,3.86,3.73,1.74,1.78,2.22,2.86,3.77,4.26,2.79,3.31,2.1,1.24,1.81,2.36,3.47,1.68
